seed,numerRuns,rounds,outcome
5293204269709342538,4,45,loss
5293204269709342538,5,45,loss
7331367599159736204,1,32,win
7331367599159736204,2,32,win
7331367599159736204,3,32,win
7331367599159736204,4,32,win
7331367599159736204,5,32,win
3060344478912775593,1,28,win
3060344478912775593,2,28,win
3060344478912775593,3,28,win
3060344478912775593,4,28,win
3060344478912775593,5,28,win
4334211274533219376,1,28,win
4334211274533219376,2,28,win
4334211274533219376,3,28,win
4334211274533219376,4,28,win
4334211274533219376,5,28,win
2079888364805295607,1,34,loss
2079888364805295607,2,34,loss
2079888364805295607,3,34,loss
2079888364805295607,4,34,loss
2079888364805295607,5,34,loss
6895727800406554602,1,70,win
6895727800406554602,2,70,win
6895727800406554602,3,70,win
6895727800406554602,4,70,win
6895727800406554602,5,70,win
874968412599074163,1,42,loss
874968412599074163,2,42,loss
874968412599074163,3,42,loss
874968412599074163,4,42,loss
874968412599074163,5,42,loss
7513586064702135379,1,26,win
7513586064702135379,2,26,win
7513586064702135379,3,26,win
7513586064702135379,4,26,win
7513586064702135379,5,26,win
8010054327349014651,1,16,loss
8010054327349014651,2,16,loss
8010054327349014651,3,16,loss
8010054327349014651,4,16,loss
8010054327349014651,5,16,loss
5162080032852909840,1,34,loss
5162080032852909840,2,34,loss
5162080032852909840,3,34,loss
5162080032852909840,4,34,loss
5162080032852909840,5,34,loss
5569481248412883769,1,16,loss
5569481248412883769,2,16,loss
5569481248412883769,3,16,loss
5569481248412883769,4,16,loss
5569481248412883769,5,16,loss
8425362749579346825,1,19,loss
8425362749579346825,2,19,loss
8425362749579346825,3,19,loss
8425362749579346825,4,19,loss
8425362749579346825,5,19,loss
8919834362374460220,1,6,loss
8919834362374460220,2,6,loss
8919834362374460220,3,6,loss
8919834362374460220,4,6,loss
8919834362374460220,5,6,loss
3948650335739290042,1,56,loss
3948650335739290042,2,56,loss
3948650335739290042,3,56,loss
3948650335739290042,4,56,loss
3948650335739290042,5,56,loss
2781129443369369520,1,27,loss
2781129443369369520,2,27,loss
2781129443369369520,3,27,loss
2781129443369369520,4,27,loss
2781129443369369520,5,27,loss
5405362808001767699,1,27,win
5405362808001767699,2,27,win
5405362808001767699,3,27,win
5405362808001767699,4,27,win
5405362808001767699,5,27,win
1075763115849173840,1,59,loss
1075763115849173840,2,59,loss
1075763115849173840,3,59,loss
1075763115849173840,4,59,loss
1075763115849173840,5,59,loss
7283166683908972523,1,16,loss
7283166683908972523,2,16,loss
7283166683908972523,3,16,loss
7283166683908972523,4,16,loss
7283166683908972523,5,16,loss
5059757798364544637,1,19,win
5059757798364544637,2,19,win
5059757798364544637,3,19,win
5059757798364544637,4,19,win
5059757798364544637,5,19,win
2430415329301100269,1,10,loss
2430415329301100269,2,10,loss
2430415329301100269,3,10,loss
2430415329301100269,4,10,loss
2430415329301100269,5,10,loss
4408599568353421525,1,30,loss
4408599568353421525,2,30,loss
4408599568353421525,3,30,loss
4408599568353421525,4,30,loss
4408599568353421525,5,30,loss
6879443506304860353,1,24,loss
6879443506304860353,2,24,loss
6879443506304860353,3,24,loss
6879443506304860353,4,24,loss
6879443506304860353,5,24,loss
961163718882462254,1,25,loss
961163718882462254,2,25,loss
961163718882462254,3,25,loss
961163718882462254,4,25,loss
961163718882462254,5,25,loss
3726525256445905346,1,42,loss
3726525256445905346,2,42,loss
3726525256445905346,3,42,loss
3726525256445905346,4,42,loss
3726525256445905346,5,42,loss
4883162273198634129,1,28,loss
4883162273198634129,2,28,loss
4883162273198634129,3,28,loss
4883162273198634129,4,28,loss
4883162273198634129,5,28,loss
4972599169303633682,1,28,loss
4972599169303633682,2,28,loss
4972599169303633682,3,28,loss
4972599169303633682,4,28,loss
4972599169303633682,5,28,loss
2424419575396069467,1,46,loss
2424419575396069467,2,46,loss
2424419575396069467,3,46,loss
2424419575396069467,4,46,loss
2424419575396069467,5,46,loss
4612229647312071994,1,15,loss
4612229647312071994,2,15,loss
4612229647312071994,3,15,loss
4612229647312071994,4,15,loss
4612229647312071994,5,15,loss
5625610483495208807,1,5,loss
5625610483495208807,2,5,loss
5625610483495208807,3,5,loss
5625610483495208807,4,5,loss
5625610483495208807,5,5,loss
8243501648917402643,1,30,loss
8243501648917402643,2,30,loss
8243501648917402643,3,30,loss
8243501648917402643,4,30,loss
8243501648917402643,5,30,loss
1182622233672485674,1,5,loss
1182622233672485674,2,5,loss
1182622233672485674,3,5,loss
1182622233672485674,4,5,loss
1182622233672485674,5,5,loss
5343102253142675407,1,35,loss
5343102253142675407,2,35,loss
5343102253142675407,3,35,loss
5343102253142675407,4,35,loss
5343102253142675407,5,35,loss
4710719368567368756,1,45,loss
4710719368567368756,2,45,loss
4710719368567368756,3,45,loss
4710719368567368756,4,45,loss
4710719368567368756,5,45,loss
3558185724502438830,1,8,loss
3558185724502438830,2,8,loss
3558185724502438830,3,8,loss
3558185724502438830,4,8,loss
3558185724502438830,5,8,loss
7783682585353860873,1,25,win
7783682585353860873,2,25,win
7783682585353860873,3,25,win
7783682585353860873,4,25,win
7783682585353860873,5,25,win
6495610125778508837,1,48,loss
6495610125778508837,2,48,loss
6495610125778508837,3,48,loss
6495610125778508837,4,48,loss
6495610125778508837,5,48,loss
4021686053366820500,1,32,loss
4021686053366820500,2,32,loss
4021686053366820500,3,32,loss
4021686053366820500,4,32,loss
4021686053366820500,5,32,loss
458582829469148355,1,47,loss
458582829469148355,2,47,loss
458582829469148355,3,47,loss
458582829469148355,4,47,loss
458582829469148355,5,47,loss
4645861485805452570,1,17,loss
4645861485805452570,2,17,loss
4645861485805452570,3,17,loss
4645861485805452570,4,17,loss
4645861485805452570,5,17,loss
5609030840745680770,1,36,loss
5609030840745680770,2,36,loss
5609030840745680770,3,36,loss
5609030840745680770,4,36,loss
5609030840745680770,5,36,loss
6692886177242401344,1,27,loss
6692886177242401344,2,27,loss
6692886177242401344,3,27,loss
6692886177242401344,4,27,loss
6692886177242401344,5,27,loss
8779579896110381940,1,6,loss
8779579896110381940,2,6,loss
8779579896110381940,3,6,loss
8779579896110381940,4,6,loss
8779579896110381940,5,6,loss
7265963503673060277,1,14,loss
7265963503673060277,2,14,loss
7265963503673060277,3,14,loss
7265963503673060277,4,14,loss
7265963503673060277,5,14,loss
3153513815685968534,1,34,loss
3153513815685968534,2,34,loss
3153513815685968534,3,34,loss
3153513815685968534,4,34,loss
3153513815685968534,5,34,loss
2990287291961561656,1,29,win
2990287291961561656,2,29,win
2990287291961561656,3,29,win
2990287291961561656,4,29,win
2990287291961561656,5,29,win
2584163146442965753,1,15,loss
2584163146442965753,2,15,loss
2584163146442965753,3,15,loss
2584163146442965753,4,15,loss
2584163146442965753,5,15,loss
4948308328387811504,1,72,loss
4948308328387811504,2,72,loss
4948308328387811504,3,72,loss
4948308328387811504,4,72,loss
4948308328387811504,5,72,loss
245252142292659714,1,17,win
245252142292659714,2,17,win
245252142292659714,3,17,win
245252142292659714,4,17,win
245252142292659714,5,17,win
4655660049103937616,1,28,loss
4655660049103937616,2,28,loss
4655660049103937616,3,28,loss
4655660049103937616,4,28,loss
4655660049103937616,5,28,loss
765141895977751678,1,21,loss
765141895977751678,2,21,loss
765141895977751678,3,21,loss
765141895977751678,4,21,loss
765141895977751678,5,21,loss
570436349027138716,1,53,loss
570436349027138716,2,53,loss
570436349027138716,3,53,loss
570436349027138716,4,53,loss
570436349027138716,5,53,loss
2212897251609018713,1,13,win
2212897251609018713,2,13,win
2212897251609018713,3,13,win
2212897251609018713,4,13,win
2212897251609018713,5,13,win
2016138707789174691,1,35,loss
2016138707789174691,2,35,loss
2016138707789174691,3,35,loss
2016138707789174691,4,35,loss
2016138707789174691,5,35,loss
6772735986260390770,1,17,win
6772735986260390770,2,17,win
6772735986260390770,3,17,win
6772735986260390770,4,17,win
6772735986260390770,5,17,win
4671890468569908538,1,28,loss
4671890468569908538,2,28,loss
4671890468569908538,3,28,loss
4671890468569908538,4,28,loss
4671890468569908538,5,28,loss
3463654269031567147,1,5,loss
3463654269031567147,2,5,loss
3463654269031567147,3,5,loss
3463654269031567147,4,5,loss
3463654269031567147,5,5,loss
8598059009644812182,1,62,loss
8598059009644812182,2,62,loss
8598059009644812182,3,62,loss
8598059009644812182,4,62,loss
8598059009644812182,5,62,loss
1737618189630387524,1,17,loss
1737618189630387524,2,17,loss
1737618189630387524,3,17,loss
1737618189630387524,4,17,loss
1737618189630387524,5,17,loss
2153788083978606662,1,35,loss
2153788083978606662,2,35,loss
2153788083978606662,3,35,loss
2153788083978606662,4,35,loss
