seed,numerRuns,rounds,outcome
7864586595558858469,1,61,win
3523183345296401124,1,26,win
5935403172936500719,1,32,win
2208053922408603788,1,16,win
5985712641281355937,1,26,win
6317686182230683854,1,33,win
3125352069878560771,1,35,win
27475166663897126,1,25,loss
4487287244334657998,1,39,win
2816266096556724397,1,52,loss
3568166446402164380,1,80,win
2993706310865313135,1,42,win
8635359852199527074,1,16,win
7130649607150825141,1,34,win
8416036420367481903,1,53,win
6865980175375119464,1,71,win
5818174593951266132,1,19,win
8828154659809431316,1,61,win
4484887680464781765,1,31,win
990094702594006524,1,69,win
5939425541152228824,1,87,loss
7275049400474849060,1,22,win
1363810415012500640,1,34,win
8147863314131492766,1,57,win
2184850804918123918,1,33,win
995524739735186785,1,47,loss
2803696276417371083,1,27,win
8499519158409718083,1,38,loss
3063098798999635688,1,19,loss
4288491184930833699,1,50,loss
3875910681911259817,1,31,win
2995210666102969905,1,31,loss
3316044399751718822,1,51,win
6037930753217559981,1,23,win
5874504931631222184,1,21,win
1970081160525842241,1,34,win
8451868162974275857,1,38,win
5005392963719272744,1,45,win
6821998793460164589,1,27,loss
1865935811128650374,1,22,win
7657927889466592469,1,28,loss
2130474993006023947,1,5,win
1381191112795497913,1,10,win
971849328710206195,1,91,win
8086528635174119128,1,77,loss
4781808166675803519,1,36,win
271577225544644842,1,111,loss
5794663663975623259,1,9,win
2476161640915025554,1,28,win
503758063711299905,1,38,loss
8473891152944033879,1,22,win
3510067059050842346,1,34,win
8993064493009726947,1,45,loss
3355582697642604974,1,53,loss
5560628771817624312,1,20,win
1021503606013430057,1,33,win
8367843263254308336,1,20,win
4085780272098769422,1,31,loss
3117010794780645337,1,33,win
6255224775435080808,1,67,win
3204550812015898869,1,25,loss
1570471814464979540,1,32,loss
5870054047140982687,1,68,loss
443238221398071519,1,59,loss
3197904986244875221,1,32,loss
5928794955798482586,1,33,win
1067580763330945308,1,21,loss
8958514574994714170,1,32,win
6075602387961132005,1,29,loss
4530162612208154950,1,43,loss
7619504314357802928,1,22,win
5480878546665944597,1,23,loss
7397970651996822278,1,52,win
3426930021461922358,1,13,win
1096391610821939524,1,21,win
2014262250044523920,1,61,win
1340483068418881970,1,21,win
7265655214579211456,1,20,win
1618090338968623810,1,34,win
7012766436004316849,1,29,win
4414401646593566678,1,27,win
711295920022023600,1,68,loss
3472133265212906637,1,30,loss
1764415329212654750,1,26,win
2407465341229461536,1,17,win
5518742184911202584,1,22,win
630724368147904281,1,35,win
910686790349178175,1,31,win
5169271437739183885,1,5,loss
1503899392445967442,1,25,win
7300764327335802864,1,19,win
2989532955991472436,1,34,win
389526790981155185,1,44,win
4858278409411564783,1,38,win
3004324156168761112,1,41,win
1092131011388167631,1,28,loss
7674516546136255503,1,28,win
5719762265396930288,1,94,win
1623799142934494260,1,84,loss
7213321489469707852,1,26,loss
3512357320799579762,1,32,win
6992667683833531937,1,19,win
3886709285803176051,1,31,win
8593145622884987862,1,25,loss
7816419865820279305,1,26,loss
559400501256364192,1,25,loss
6440376456768865891,1,41,win
1984864769648503356,1,31,loss
6710474424931903893,1,104,win
3785604378888405801,1,44,win
1133494850586169553,1,17,win
6732075852392062377,1,77,loss
1242028914355042869,1,25,win
8536854363459056157,1,60,win
4054198853436174563,1,31,win
6336152603337727773,1,29,win
354750400847001782,1,25,win
4615155627438903620,1,35,win
5364562791047730365,1,111,loss
2325490692469595463,1,28,loss
4819670459504927557,1,69,win
5050302887228600837,1,27,loss
4474454778044291462,1,45,win
1566811257510905342,1,19,win
297991149901198836,1,36,win
4805804233625213553,1,31,loss
19169812973634561,1,49,loss
3804222872153700832,1,31,win
1283015834708833424,1,27,loss
446700141151348203,1,62,win
3066974562657440589,1,41,win
1228204586039452933,1,28,loss
8621150821938865925,1,18,win
6427275169190157725,1,40,loss
8517370573297125797,1,16,win
5430630531840329710,1,43,loss
4059267738598845322,1,39,win
6117762784743347864,1,20,win
2717028628634793516,1,32,win
5623413543738356514,1,24,win
